session,site,species_order,family,binomial,species,size_bin,size_bin_lengths,habitat,octocoral,stony,relief_cm,predator_presence,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,trophic_position,shape,SVC_date,SVC_max_depth,SVC_abundance,SVC_area,SVC_density,prey_date,prey_depth,prey_abundance,prey_area,prey_density,SVC_prey_difference,total_density,log_difference,average_depth
141,BISC-P12a,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,3,12.91456,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,28,colourful,1,herbivore,fusiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,2,48,0.041666666666666664,-0.028934271219356406,0.05439906211397692,-1.1336603025677703,14.75
141,BISC-P12a,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,6,47.70199,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,50,colourful,0,omnivore,fusiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,0,48,0,0.01273239544731026,0.01273239544731026,2.619757672683737,14.75
141,BISC-P12a,Perciformes,Haemulidae,Haemulon plumierii,white grunt,5,24.92844,Patch,70,5,42.166666666666664,0,0,demersal,schooling,59,silvering,0,carnivore,compressiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,2,48,0.041666666666666664,-0.028934271219356406,0.05439906211397692,-1.1336603025677703,14.75
141,BISC-P12a,Perciformes,Labridae,Scarus iseri,striped parrotfish,5,24.92844,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,35,colourful,0,herbivore,fusiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,0,48,0,0.01273239544731026,0.01273239544731026,2.619757672683737,14.75
141,BISC-P12a,Perciformes,Pomacentridae,Stegastes leucostictus,beaugregory,1,3.63321,Patch,70,5,42.166666666666664,0,0,demersal,solitary,10,neutral,0,omnivore,compressiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,2,48,0.041666666666666664,-0.041666666666666664,0.041666666666666664,-3.7534179752515073,14.75
141,BISC-P12a,Perciformes,Pomacanthidae,Holacanthus bermudensis,blue angelfish,4,17.94356,Patch,70,5,42.166666666666664,0,0,demersal,solitary,45,colourful,0,invertivore,compressiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,1,48,0.020833333333333332,-0.020833333333333332,0.020833333333333332,-3.0834378539730962,14.75
141,BISC-P12a,Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,1,3.63321,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,25,colourful,0,planktivore,fusiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,1,48,0.020833333333333332,-0.020833333333333332,0.020833333333333332,-3.0834378539730962,14.75
141,BISC-P12a,Perciformes,Haemulidae,Haemulon sciurus,bluestriped grunt,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,schooling,46,colourful,0,invertivore,fusiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,4,48,0.08333333333333333,-0.08333333333333333,0.08333333333333333,-4.43477720005941,14.75
141,BISC-P12a,Perciformes,Haemulidae,Haemulon sciurus,bluestriped grunt,5,24.92844,Patch,70,5,42.166666666666664,0,0,demersal,schooling,46,colourful,0,invertivore,fusiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,2,48,0.041666666666666664,-0.041666666666666664,0.041666666666666664,-3.7534179752515073,14.75
141,BISC-P12a,Perciformes,Gobiidae,Coryphopterus glaucofraenum,bridled goby,1,3.63321,Patch,70,5,42.166666666666664,0,0,demersal,solitary,8,camouflage,1,omnivore,elongated,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,1,48,0.020833333333333332,-0.020833333333333332,0.020833333333333332,-3.0834378539730962,14.75
141,BISC-P12a,Perciformes,Serranidae,Hypoplectrus unicolor,butter hamlet,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,solitary,13,neutral,1,carnivore,compressiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,4,48,0.08333333333333333,-0.08333333333333333,0.08333333333333333,-4.43477720005941,14.75
141,BISC-P12a,Perciformes,Gobiidae,Coryphopterus dicrus,colon goby,1,3.63321,Patch,70,5,42.166666666666664,0,0,demersal,solitary,5,camouflage,1,omnivore,elongated,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,1,48,0.020833333333333332,-0.020833333333333332,0.020833333333333332,-3.0834378539730962,14.75
141,BISC-P12a,Perciformes,Pomacentridae,Stegastes adustus,dusky damselfish,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,solitary,15,neutral,0,herbivore,compressiform,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,1,48,0.020833333333333332,-0.020833333333333332,0.020833333333333332,-3.0834378539730962,14.75
141,BISC-P12a,Perciformes,Gobiidae,Gnatholepis thompsoni,goldspot goby,1,3.63321,Patch,70,5,42.166666666666664,0,0,demersal,solitary,8.2,camouflage,0,omnivore,elongated,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,1,48,0.020833333333333332,-0.020833333333333332,0.020833333333333332,-3.0834378539730962,14.75
141,BISC-P12a,Perciformes,Gobiidae,Gnatholepis thompsoni,goldspot goby,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,solitary,8.2,camouflage,0,omnivore,elongated,2014-09-16,15,0,78.53981634,0,2014-09-16,14.5,2,48,0.041666666666666664,-0.041666666666666664,0.041666666666666664,-3.7534179752515073,14.75
