session,site,SVC_date,SVC_dive_start,SVC_dive_end
147,BISC-W12,2014-09-17,1020,110
147,BISC-W12,2014-09-17,1020,110
147,BISC-W12,2014-09-17,1020,110
147,BISC-W12,2014-09-17,1020,110
147,BISC-W12,2014-09-17,1020,110
147,BISC-W12,2014-09-17,1020,110
147,BISC-W12,2014-09-17,1020,110
147,BISC-W12,2014-09-17,1020,110
147,BISC-W12,2014-09-17,1020,110
147,BISC-W12,2014-09-17,1020,110
147,BISC-W12,2014-09-17,1020,110
147,BISC-W12,2014-09-17,1020,110
147,BISC-W12,2014-09-17,1020,110
147,BISC-W12,2014-09-17,1020,110
147,BISC-W12,2014-09-17,1020,110
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
148,BISC-W13,2014-09-17,1225,1305
149,BISC-P7a,2014-09-18,1356,1437
149,BISC-P7a,2014-09-18,1356,1437
149,BISC-P7a,2014-09-18,1356,1437
149,BISC-P7a,2014-09-18,1356,1437
149,BISC-P7a,2014-09-18,1356,1437
149,BISC-P7a,2014-09-18,1356,1437
