session,site,SVC_date,prey_date,pred_date,SVC_dive_start,SVC_dive_end,prey_time,pred_time_start,pred_time_end,,legend:,,unmatched date,,unmatched time,
203,FKSP1,2015-03-22,2015-03-22,2015-03-22,1706,1737,NA,NA,NA,,,,,,,
204,Ten 2A,2015-03-22,2015-03-22,2015-03-22,1047,1145,1114.5,41640,43230,,,,,,,
205,Ten 3A,2015-03-22,2015-03-22,2015-03-22,1302,1350,1321.5,47370,48840,,,,,,,
206,Ten 5A,2015-03-22,2015-03-22,2015-03-22,1515,1618,1547,56070,57060,,,,,,,
207,Conch 3A,2015-03-23,2015-03-23,2015-03-23,1340,1430,1377.75,50190,51390,,,,,,,
208,Conch 4B,2015-03-23,2015-03-23,2015-03-23,1144,1225,1182,42900,43890,,,,,,,
209,Conch 6A,2015-03-23,2015-03-23,2015-03-23,954,1040,1009.75,36360,37680,,,,,,,
210,KL-P2,2015-03-23,2015-03-23,2015-03-23,1534,1605,1565,56780,57380,,,,,,,
211,DANGER 88,2015-03-24,2015-03-24,2015-03-24,1722,1741,NA,63280,64080,,,,,,,
212,KL-P11,2015-03-24,2015-03-24,2015-03-24,1613,1640,1624,59340,60080,,,,,,,
213,KL-P13,2015-03-24,2015-03-24,2015-03-24,1455,1520,1512,54640,55380,,,,,,,
214,KL-P14,2015-03-24,2015-03-24,2015-03-24,1341,1408,1377.25,49920,50380,,,,,,,
215,KL-W12,2015-03-24,2015-03-24,2015-03-24,958,1045,1010.5,36780,37740,,,,,,,
216,KL-W13,2015-03-24,2015-03-24,2015-03-24,1159,1245,NA,43890,45090,,,,,,,
217,KL-P5,2015-03-25,2015-03-25,2015-03-25,1303,1345,1321,48460,49580,,,,,,,
218,KL-P6,2015-03-25,2015-03-25,2015-03-25,1425,1455,1433.5,52820,53240,,,,,,,
219,KL-P7,2015-03-25,2015-03-25,2015-03-25,1522,1551,1527,56640,57560,,,,,,,
220,KL-W11,2015-03-25,2015-03-25,2015-03-25,1127,1215,1133.25,41820,42900,,,,,,,
221,KL-W8,2015-03-25,2015-03-25,2015-03-25,920,1005,933,34080,35100,,,,,,,
222,Benwood Ledge,2015-03-26,2015-03-26,2015-03-26,932,1022,944,34980,36030,,,,,,,
223,Dixie Ledge,2015-03-26,2015-03-26,2015-03-26,1147,1236,NA,43140,44370,,,,,,,
224,KL-30,2015-03-26,2015-03-26,2015-03-26,1509,1610,NA,55740,57000,,,,,,,
225,KL-P4,2015-03-26,2015-03-26,2015-03-26,1654,1720,NA,61440,61880,,,,,,,
226,KL-P8,2015-03-26,2015-03-26,2015-03-26,1326,1407,1377,49980,51120,,,,,,,
227,Benwood Ledge,2015-10-22,2015-10-22,2015-10-22,NA,NA,922.5,34980,35820,,,,,,,
228,KL-W2,2015-10-22,2015-10-22,2015-10-22,NA,NA,1138.25,41730,42600,,,,,,,
229,Dixie Ledge,2015-10-23,2015-10-23,2015-10-23,NA,NA,948.5,34620,35430,,,,,,,
230,KL-W7,2015-10-23,2015-10-23,2015-10-23,NA,NA,1127,40860,41730,,,,,,,
